Fecha,ID Dispositivo,Dispositivo,Grupo Usuario,Usuario,Evento
2019-10-12 19:37:46,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,117623,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-10-12 19:18:14,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,1689,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-10-12 19:18:11,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,1689,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-10-12 19:17:22,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,115799,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-10-12 19:17:20,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,115799,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-10-12 19:11:43,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,117174,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-10-12 19:11:37,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,117174,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-10-12 18:30:44,542340159,FaceStation 2 542340159 (192.168.1.204),,,Autenticaciￃﾳn fallida (Timeout)
2019-10-12 18:30:38,542340159,FaceStation 2 542340159 (192.168.1.204),,,Autenticaciￃﾳn fallida (Timeout)
2019-10-12 18:29:58,542185233,FaceStation 2 542185233 (192.168.1.203),,,Autenticaciￃﾳn fallida (Timeout)
2019-10-12 16:46:51,542340159,FaceStation 2 542340159 (192.168.1.204),All Users,117623,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-10-12 15:49:34,542185233,FaceStation 2 542185233 (192.168.1.203),All Users,115240,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-10-12 15:49:26,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,67016,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-10-12 15:49:21,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,119314,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-10-12 15:49:10,542185220,FaceStation 2 542185220 (192.168.1.202),All Users,61364,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-10-12 15:47:20,542185239,FaceStation 2 542185239 (192.168.1.200),All Users,117499,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-10-12 15:46:54,542185216,FaceStation 2 542185216 (192.168.1.201),All Users,117708,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-10-12 15:46:52,542185216,FaceStation 2 542185216 (192.168.1.201),All Users,117708,1:N Autenticaciￃﾳn exitosa (Rostro)
2019-10-12 15:46:36,542185216,FaceStation 2 542185216 (192.168.1.201),All Users,115329,1:N Autenticaciￃﾳn exitosa (Rostro)
